                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.569,                 3.9506,                 1.5893,                0.06888,                0.05097,                0.05092,                0.03795,                 1.4566,                 7.9835,                 1.4565,               8.82e-05,               8.82e-05,               8.82e-05
                      2,                 1.3258,                 2.7489,                 1.4228,                0.22892,                 0.0875,                0.03311,                 0.0227,                 1.4028,                 3.9641,                 1.4061,             0.00018048,             0.00018048,             0.00018048
                      3,                 1.2225,                 2.2111,                 1.3163,                0.58094,                0.18869,                0.12227,                0.07799,                 1.3998,                 3.2487,                 1.3392,             0.00027089,             0.00027089,             0.00027089
                      4,                 1.1677,                 2.0532,                 1.2927,                0.31352,                0.15703,                0.12862,                0.09153,                 1.3478,                 3.2703,                 1.3867,             0.00035944,             0.00035944,             0.00035944
                      5,                 1.0349,                 1.7668,                 1.2043,                0.34104,                0.15303,                0.14734,                0.09402,                 1.3859,                 2.9864,                 1.3907,             0.00044613,             0.00044613,             0.00044613
                      6,                 1.0353,                 1.6005,                 1.1844,                0.21569,                0.31976,                0.16514,                0.09881,                 1.3808,                 2.9266,                 1.4046,             0.00053095,             0.00053095,             0.00053095
                      7,                 1.0722,                   1.57,                 1.2102,                0.44099,                0.22601,                0.17093,                0.11493,                 1.3023,                 2.6636,                 1.3259,             0.00055307,             0.00055307,             0.00055307
                      8,                 1.0366,                 1.4714,                 1.1778,                0.34499,                0.29394,                 0.1948,                0.12742,                 1.2946,                 2.4945,                 1.3122,             0.00054725,             0.00054725,             0.00054725
                      9,                0.94538,                 1.2939,                 1.1353,                0.35888,                0.21367,                0.18569,                0.12313,                  1.346,                 2.4602,                 1.3264,             0.00054143,             0.00054143,             0.00054143
                     10,                0.98904,                 1.2578,                 1.1603,                0.37069,                0.17583,                0.16943,                0.10841,                 1.3141,                 2.6461,                 1.3198,             0.00053561,             0.00053561,             0.00053561
                     11,                0.90105,                 1.1882,                 1.1154,                0.16579,                0.25145,                  0.172,                0.11143,                 1.3986,                 2.5056,                 1.4078,             0.00052979,             0.00052979,             0.00052979
                     12,                0.87831,                 1.1233,                 1.0991,                0.23249,                0.25822,                0.24283,                0.15634,                 1.3243,                 2.1446,                  1.342,             0.00052397,             0.00052397,             0.00052397
                     13,                 0.8671,                 1.1054,                 1.0971,                0.24518,                0.30898,                0.22996,                0.15087,                 1.3439,                 2.2961,                 1.3672,             0.00051815,             0.00051815,             0.00051815
                     14,                0.84566,                  1.061,                 1.0959,                0.21295,                 0.2026,                0.19551,                0.12925,                 1.3829,                 2.4947,                 1.4268,             0.00051232,             0.00051232,             0.00051232
                     15,                0.85699,                  1.045,                 1.0927,                0.21652,                0.28927,                0.23794,                 0.1512,                 1.3801,                 2.2742,                 1.3974,              0.0005065,              0.0005065,              0.0005065
