                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7072,                 3.7476,                 1.6964,                0.24523,                0.04084,                0.02692,                0.01842,                 1.5368,                 7.5063,                 1.5488,              9.375e-05,              9.375e-05,              9.375e-05
                      2,                   1.42,                 2.6602,                 1.4999,                0.36776,                0.06883,                0.04523,                0.03114,                 1.5563,                 3.2118,                 1.5565,             0.00018608,             0.00018608,             0.00018608
                      3,                 1.3379,                 2.1175,                 1.3953,                0.28193,                0.25678,                0.09143,                0.05991,                 1.4798,                 3.4296,                 1.4618,             0.00027049,             0.00027049,             0.00027049
                      4,                 1.2701,                 1.9668,                 1.3727,                 0.3422,                0.24497,                0.11256,                0.07514,                 1.4837,                 3.0739,                 1.4803,             0.00034697,             0.00034697,             0.00034697
                      5,                 1.1629,                 1.7115,                 1.2868,                0.27372,                0.24447,                0.15807,                0.10557,                 1.4559,                 2.6881,                  1.417,             0.00041554,             0.00041554,             0.00041554
                      6,                 1.1315,                 1.5671,                 1.2789,                0.46059,                0.17503,                0.16471,                0.10519,                 1.4712,                 2.5341,                 1.4609,             0.00047619,             0.00047619,             0.00047619
                      7,                 1.1139,                 1.5109,                 1.2565,                0.45536,                0.17253,                0.16838,                0.10274,                 1.4516,                 2.3652,                 1.4202,              0.0004765,              0.0004765,              0.0004765
                      8,                 1.1039,                 1.4501,                 1.2459,                0.27062,                0.24859,                 0.1964,                0.12238,                 1.4344,                  2.326,                 1.4285,             0.00045175,             0.00045175,             0.00045175
                      9,                  1.044,                 1.3109,                  1.214,                0.20881,                0.21984,                0.18743,                0.11322,                 1.4449,                   2.23,                 1.4323,               0.000427,               0.000427,               0.000427
                     10,                 1.0375,                 1.2854,                 1.2241,                0.28625,                0.24303,                0.20381,                0.12328,                 1.4821,                 2.2121,                 1.4297,             0.00040225,             0.00040225,             0.00040225
                     11,                   1.02,                 1.2199,                 1.2113,                0.23188,                0.25128,                 0.2263,                0.14397,                 1.4595,                 2.0559,                 1.4035,              0.0003775,              0.0003775,              0.0003775
                     12,                0.98109,                 1.1232,                 1.1676,                0.30676,                0.27486,                0.22167,                0.13664,                 1.4587,                 2.0575,                 1.4319,             0.00035275,             0.00035275,             0.00035275
                     13,                0.96017,                 1.0772,                 1.1563,                0.29081,                0.21784,                0.24987,                0.15513,                 1.4077,                 2.0891,                 1.4177,               0.000328,               0.000328,               0.000328
                     14,                0.94241,                 1.0437,                 1.1569,                0.34897,                 0.2703,                0.24253,                0.15587,                 1.4458,                 2.0637,                 1.4584,             0.00030325,             0.00030325,             0.00030325
                     15,                0.92722,                0.98644,                 1.1339,                 0.3568,                0.25713,                0.26484,                0.16681,                 1.4209,                 1.9528,                 1.4337,              0.0002785,              0.0002785,              0.0002785
                     16,                0.91505,                 1.0555,                 1.1364,                0.28583,                0.31285,                0.26492,                  0.168,                 1.3973,                 1.8573,                  1.418,             0.00025375,             0.00025375,             0.00025375
                     17,                0.87636,                0.97539,                 1.1258,                0.23446,                0.30781,                0.24306,                0.15679,                 1.3804,                 1.9189,                  1.396,               0.000229,               0.000229,               0.000229
                     18,                0.86763,                0.94309,                 1.1231,                0.23005,                0.30788,                0.23785,                0.15136,                 1.3963,                 1.9521,                 1.3899,             0.00020425,             0.00020425,             0.00020425
                     19,                0.85844,                0.92127,                 1.1166,                0.32318,                0.34546,                0.24618,                0.15195,                 1.4072,                 1.9279,                 1.4101,              0.0001795,              0.0001795,              0.0001795
                     20,                0.83818,                0.82868,                 1.1043,                0.36561,                0.30031,                0.25184,                0.16102,                 1.4054,                  1.907,                 1.4037,             0.00015475,             0.00015475,             0.00015475
                     21,                0.82385,                0.81638,                 1.0958,                0.31748,                0.32243,                0.24182,                0.15307,                 1.4103,                 1.9364,                 1.4065,                0.00013,                0.00013,                0.00013
                     22,                0.83043,                0.79407,                 1.0718,                0.37341,                0.23866,                0.24307,                0.15011,                 1.4095,                 1.9537,                  1.397,             0.00010525,             0.00010525,             0.00010525
                     23,                0.83252,                0.78769,                 1.0894,                0.36313,                0.24705,                0.24527,                0.15302,                 1.4318,                 1.9587,                 1.4128,               8.05e-05,               8.05e-05,               8.05e-05
                     24,                0.77164,                0.73212,                 1.0564,                0.39226,                0.23767,                0.25399,                0.15732,                 1.4273,                 1.9555,                 1.4164,              5.575e-05,              5.575e-05,              5.575e-05
                     25,                0.76614,                0.70375,                 1.0496,                0.40772,                0.22435,                0.25386,                0.15892,                 1.4281,                 1.9448,                 1.4154,                3.1e-05,                3.1e-05,                3.1e-05
